[22:16:34] [INFO] received Windows console close event; shutting log-core down
[22:17:07] [INFO] received Windows console close event; shutting log-core down
[23:23:03] [INFO] received Windows console close event; shutting log-core down
[23:25:28] [INFO] received Windows console close event; shutting log-core down
[23:28:33] [INFO] received Windows console close event; shutting log-core down
[23:31:51] [INFO] received Windows console close event; shutting log-core down
[23:35:55] [INFO] received Windows console close event; shutting log-core down
[23:37:47] [INFO] received Windows console close event; shutting log-core down
[23:38:44] [INFO] received Windows console close event; shutting log-core down
[23:39:40] [INFO] received Windows console close event; shutting log-core down
[23:43:59] [INFO] received Windows console close event; shutting log-core down
[23:46:51] [INFO] received Windows console close event; shutting log-core down
[23:51:17] [INFO] received Windows console close event; shutting log-core down
[23:54:23] [INFO] received Windows console close event; shutting log-core down
[23:58:36] [INFO] received Windows console close event; shutting log-core down
[00:32:50] [INFO] received Windows console close event; shutting log-core down
[00:36:27] [INFO] received Windows console close event; shutting log-core down
[00:43:06] [INFO] received Windows console close event; shutting log-core down
[00:54:28] [INFO] received Windows console close event; shutting log-core down
[00:54:50] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[00:54:52] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[00:55:16] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[00:56:05] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[00:57:05] [ERROR] exception 0XE06D7363 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[00:57:51] [INFO] received Windows console close event; shutting log-core down
[01:08:04] [INFO] received Windows console close event; shutting log-core down
[01:10:27] [INFO] received Windows console close event; shutting log-core down
[01:13:01] [INFO] received Windows console close event; shutting log-core down
[01:19:28] [INFO] received Windows console close event; shutting log-core down
[01:22:09] [INFO] received Windows console close event; shutting log-core down
[01:49:25] [INFO] received Windows console close event; shutting log-core down
[02:06:30] [INFO] received Windows console close event; shutting log-core down
[02:20:12] [INFO] received Windows console close event; shutting log-core down
[13:09:42] [INFO] received Windows console close event; shutting log-core down
[13:17:24] [INFO] received Windows console close event; shutting log-core down
[14:13:46] [INFO] received Windows console close event; shutting log-core down
[14:18:25] [INFO] received Windows console close event; shutting log-core down
[14:20:48] [INFO] received Windows console close event; shutting log-core down
[14:22:58] [INFO] received Windows console close event; shutting log-core down
[14:27:24] [INFO] received Windows console close event; shutting log-core down
[14:30:32] [INFO] received Windows console close event; shutting log-core down
[14:31:31] [INFO] received Windows console close event; shutting log-core down
[14:32:14] [INFO] received Windows console close event; shutting log-core down
[14:35:05] [INFO] received Windows console close event; shutting log-core down
[14:35:47] [INFO] received Windows console close event; shutting log-core down
[14:36:35] [INFO] received Windows console close event; shutting log-core down
[14:50:07] [INFO] received Windows console close event; shutting log-core down
[15:00:01] [INFO] received Windows console close event; shutting log-core down
[15:01:50] [INFO] received Windows console close event; shutting log-core down
[15:12:59] [INFO] received Windows console close event; shutting log-core down
[15:58:38] [INFO] received Windows console close event; shutting log-core down
[16:14:42] [INFO] received Windows console close event; shutting log-core down
[17:17:04] [INFO] received Windows console close event; shutting log-core down
[17:21:22] [INFO] received Windows console close event; shutting log-core down
[17:27:59] [INFO] received Windows console close event; shutting log-core down
[17:39:22] [INFO] received Windows console close event; shutting log-core down
